month,long_ticker,short_ticker,cluster,mom1_diff
2017-07-01,EMR,CAT,11,0.01103976344870361
2017-07-01,ETN,EMR,11,0.0026557661709969427
2017-07-01,TMO,ABT,12,0.05390699813668087
2017-07-01,TMO,UNH,12,0.05207154173990136
2017-07-01,TMO,MDT,12,0.04235857838637891
2017-07-01,LLY,ABBV,13,0.0639972879931121
2017-07-01,XOM,CVX,14,0.005257470224568239
2017-07-01,SLB,OKE,15,0.103766072978133
2017-07-01,SLB,KMI,15,0.07527260427776505
2017-07-01,COP,OKE,15,0.06622837632724177
2017-07-01,SRE,PPL,16,0.010676665155533782
2017-07-01,SO,EXC,17,0.04731979132628694
2017-07-01,SO,NEE,17,0.044831008592461585
2017-07-01,D,EXC,17,0.04462518768714829
2017-08-01,SBUX,MSFT,0,0.12893464441456826
2017-08-01,SBUX,AAPL,0,0.10681559030604348
2017-08-01,AAPL,MSFT,0,0.02211905410852477
2017-08-01,COST,MCD,1,0.02186237666395663
2017-08-01,GOOGL,META,2,0.10391686452836413
2017-08-01,AMZN,META,2,0.10057552092171362
2017-08-01,GOOGL,AMZN,2,0.0033413436066505042
2017-08-01,CL,PG,3,0.07088961202996902
2017-08-01,PEP,KO,4,0.012535285859258893
2017-08-01,T,VZ,5,0.05081668199113243
2017-08-01,CSCO,INTC,6,0.037069056360856
2017-08-01,GE,BA,7,0.27783795483539686
2017-08-01,ITW,BA,7,0.24382054960878607
2017-08-01,HON,BA,7,0.20477164743548792
2017-08-01,WFC,MS,8,0.08466152155949824
2017-08-01,WFC,COF,8,0.0696495620160339
2017-08-01,BAC,MS,8,0.06387263533348364
2017-08-01,EMR,CAT,9,0.06804914315449329
2017-08-01,ETN,CAT,9,0.0624875872009536
2017-08-01,EMR,ETN,9,0.0055615559535396875
2017-08-01,MDT,GILD,10,0.12393849566313786
2017-08-01,PFE,GILD,10,0.08777386845790336
2017-08-01,MDT,UNH,10,0.08345974767369213
2017-08-01,ABBV,LLY,11,0.031554691512403865
2017-08-01,XOM,CVX,12,0.055140166156269266
2017-08-01,COP,OKE,13,0.046091734211654245
2017-08-01,SLB,OKE,13,0.04267550801861164
2017-08-01,COP,KMI,13,0.0340871183920568
2017-08-01,SO,NEE,14,0.04144793080325582
2017-08-01,EIX,NEE,14,0.036232038681080825
2017-08-01,D,NEE,14,0.03528729682401166
2017-08-01,PPL,SRE,15,0.01843186755083015
2017-09-01,SBUX,AAPL,0,0.08612263432203782
2017-09-01,MSFT,AAPL,0,0.07268568847446999
2017-09-01,SBUX,MSFT,0,0.013436945847567827
2017-09-01,NKE,NVDA,1,0.1462435534607136
2017-09-01,NKE,HD,1,0.11048074126067142
2017-09-01,HD,NVDA,1,0.03576281220004218
2017-09-01,AMZN,META,2,0.02333972607598689
2017-09-01,AMZN,GOOGL,2,0.01757151567257287
2017-09-01,GOOGL,META,2,0.00576821040341402
2017-09-01,COST,MCD,3,0.04524529738281491
2017-09-01,INTC,CSCO,4,0.028120966983746
2017-09-01,GE,HON,5,0.0619599988892684
2017-09-01,ITW,HON,5,0.043150072526511374
2017-09-01,GE,BA,5,0.03582350279192881
2017-09-01,COF,GS,6,0.06843667746123461
2017-09-01,COF,BAC,6,0.06738519285331712
2017-09-01,COF,JPM,6,0.062021168221640055
2017-09-01,CL,PG,7,0.023741893569428907
2017-09-01,KO,PEP,8,0.005710959497615908
2017-09-01,T,VZ,9,0.030665657032972193
2017-09-01,ETN,CAT,10,0.10681462843863654
2017-09-01,ETN,EMR,10,0.07381390436193258
2017-09-01,EMR,CAT,10,0.03300072407670396
2017-09-01,MDT,GILD,11,0.14001943324998467
2017-09-01,MDT,TMO,11,0.10604198140537413
2017-09-01,JNJ,GILD,11,0.09637398015046927
2017-09-01,LLY,ABBV,12,0.08737570731032451
2017-09-01,XOM,CVX,13,0.032919142449719496
2017-09-01,EOG,OKE,14,0.077115876640928
2017-09-01,EOG,COP,14,0.069032294840088
2017-09-01,EOG,KMI,14,0.05278090451048123
2017-09-01,SO,AEP,15,0.03359485296061848
2017-09-01,EIX,AEP,15,0.03348688423978685
2017-09-01,D,AEP,15,0.022207647149697696
2017-09-01,PPL,SRE,16,0.019780456189651296
2017-10-01,AAPL,MSFT,0,0.05610318309904683
2017-10-01,AAPL,SBUX,0,0.03928963610877523
2017-10-01,SBUX,MSFT,0,0.0168135469902716
2017-10-01,MCD,COST,1,0.06847647723193129
2017-10-01,TSLA,GOOGL,2,0.06077790824770757
2017-10-01,AMZN,GOOGL,2,0.038599308197883375
2017-10-01,TSLA,META,2,0.035412973812490645
2017-10-01,PG,CL,3,0.030878317212081785
2017-10-01,PEP,KO,4,0.032936412990964614
2017-10-01,VZ,T,5,0.014044563776970831
2017-10-01,CSCO,INTC,6,0.041800980512162855
2017-10-01,HON,BA,7,0.03538404321178468
2017-10-01,GE,ITW,8,0.08690020689469069
2017-10-01,JPM,WFC,9,0.029052213463126142
2017-10-01,USB,WFC,9,0.02842547349509239
2017-10-01,MS,WFC,9,0.021138088346070782
2017-10-01,CAT,ETN,10,0.008962236032519444
2017-10-01,EMR,ETN,10,0.005708930787408306
2017-10-01,CAT,EMR,10,0.0032533052451111377
2017-10-01,MDT,PFE,11,0.08203796411489883
2017-10-01,GILD,PFE,11,0.07852895210816724
2017-10-01,MDT,ABT,11,0.07706855054201134
2017-10-01,LLY,ABBV,12,0.12782699312451307
2017-10-01,XOM,CVX,13,0.017496270324082408
2017-10-01,KMI,COP,14,0.15410327233876275
2017-10-01,KMI,EOG,14,0.14598950848674108
2017-10-01,OKE,COP,14,0.12328815937709203
2017-10-01,SRE,PPL,15,0.002405616887456996
2017-10-01,AEP,SO,16,0.06431083432781481
2017-10-01,DUK,SO,16,0.05696705046597528
2017-10-01,EIX,SO,16,0.04910061579761571
2017-11-01,SBUX,MSFT,0,0.09564225509289903
2017-11-01,SBUX,AAPL,0,0.07595484299743926
2017-11-01,AAPL,MSFT,0,0.019687412095459766
2017-11-01,TMUS,NKE,1,0.0912126195984293
2017-11-01,HD,NKE,1,0.04712646953268318
2017-11-01,TMUS,HD,1,0.04408615006574612
2017-11-01,COST,MCD,2,0.08467171311212673
2017-11-01,CSCO,INTC,3,0.17028382757035754
2017-11-01,GE,MMM,4,0.26299607137244085
2017-11-01,GE,ITW,4,0.22425533164440736
2017-11-01,GE,BLK,4,0.21936937705888604
2017-11-01,USB,COF,5,0.0740951935082459
2017-11-01,WFC,COF,5,0.07091199638128387
2017-11-01,GS,COF,5,0.06649422535500249
2017-11-01,EMR,CAT,6,0.06962838401605942
2017-11-01,ETN,CAT,6,0.053322389703453155
2017-11-01,EMR,ETN,6,0.016305994312606265
2017-11-01,TSLA,AMZN,7,0.1775462496950344
2017-11-01,META,AMZN,7,0.0959329662838766
2017-11-01,TSLA,GOOGL,7,0.08914265867576088
2017-11-01,PG,CL,8,0.016266450227290674
2017-11-01,PEP,KO,9,0.032205045913429986
2017-11-01,T,VZ,10,0.10898447965152169
2017-11-01,ABT,UNH,11,0.052062923624318636
2017-11-01,TMO,UNH,11,0.048901844873619815
2017-11-01,MDT,UNH,11,0.038107361153176145
2017-11-01,GILD,PFE,12,0.056842191356091476
2017-11-01,LLY,ABBV,13,0.06481382783567669
2017-11-01,CVX,XOM,14,0.03029423177729118
2017-11-01,SLB,EOG,15,0.11669768804372371
2017-11-01,SLB,COP,15,0.11007091096253385
2017-11-01,KMI,EOG,15,0.0837472539744486
2017-11-01,PPL,SRE,16,0.039511777984959084
2017-11-01,EIX,PEG,17,0.027710972185107208
2017-11-01,EIX,SO,17,0.026131324559322655
2017-11-01,EIX,AEP,17,0.023328516491164075
2017-12-01,MSFT,SBUX,0,0.04294110635118065
2017-12-01,AAPL,SBUX,0,0.03982057393362837
2017-12-01,MSFT,AAPL,0,0.0031205324175522797
2017-12-01,TMUS,NKE,1,0.07714712916713751
2017-12-01,TMUS,HD,1,0.06852874571275058
2017-12-01,HD,NKE,1,0.008618383454386924
2017-12-01,MCD,COST,2,0.11206324224224007
2017-12-01,INTC,CSCO,3,0.10077038325349397
2017-12-01,GE,HON,4,0.17987696302262446
